ZONA,GRUPO,TIPO,CERRO,ALTITUD,PRIMER_ASC,PERSONA,PAÍS,CONTINENTE,LAT,RUTA,CARA,SOLO,TRAVESIA,BANDERA,SILUETA,COUNTRY,CONTINENT
Chaltén,Fitz Roy,Cerro,Eléctrico,"2,257",01/01/32,Alberto Maria De Agostini,Italia,Europa,"-49.251023, -73.009772",De Agostini-Derriard,Sin Datos,,,https://worldflags.net/flaggor/flags/4x3/it.svg,https://raw.githubusercontent.com/pgenero/diplo/TP/PATAGONIA/04.CONTINENTES/EUROPA.png,Italy,Europe
Chaltén,Fitz Roy,Cerro,Eléctrico,"2,257",01/01/32,Mario Derriard,Italia,Europa,"-49.251023, -73.009772",Normal,Sin Datos,,,https://worldflags.net/flaggor/flags/4x3/it.svg,https://raw.githubusercontent.com/pgenero/diplo/TP/PATAGONIA/04.CONTINENTES/EUROPA.png,Italy,Europe
Chaltén,Fitz Roy,Cerro,Eléctrico Noreste,"2,070",01/09/13,Colin Haley,USA,Norteamérica,"-49.250482, -73.003224",Cumbre Roja,Sin Datos,x,,https://worldflags.net/flaggor/flags/4x3/us.svg,https://raw.githubusercontent.com/pgenero/diplo/TP/PATAGONIA/04.CONTINENTES/NORTEAMERICA.png,USA,North America
Chaltén,Fitz Roy,Cerro,Castillo Negro,"2,125",01/01/64,Carlos Comesaña,Argentina,Sudamérica,"-49.254632, -73.019612",Comesaña,Sin Datos,x,,https://worldflags.net/flaggor/flags/4x3/ar.svg,https://raw.githubusercontent.com/pgenero/diplo/TP/PATAGONIA/04.CONTINENTES/SUDAMERICA.png,Argentina,South America
Chaltén,Fitz Roy,Aguja,Guillaumet,"2,574",01/01/65,José Luis Fonrouge,Argentina,Sudamérica,"-49.260020, -73.033035",Comesaña-Fonrouge,Filo Noroeste,,,https://worldflags.net/flaggor/flags/4x3/ar.svg,https://raw.githubusercontent.com/pgenero/diplo/TP/PATAGONIA/04.CONTINENTES/SUDAMERICA.png,Argentina,South America
Chaltén,Fitz Roy,Aguja,Guillaumet,"2,574",01/01/65,Carlos Comesaña,Argentina,Sudamérica,"-49.260020, -73.033035",Comesaña-Fonrouge,Filo Noroeste,,,https://worldflags.net/flaggor/flags/4x3/ar.svg,https://raw.githubusercontent.com/pgenero/diplo/TP/PATAGONIA/04.CONTINENTES/SUDAMERICA.png,Argentina,South America
Chaltén,Fitz Roy,Aguja,Guillaumet,"2,574",01/01/79,Alfredo Rosasco,Argentina,Sudamérica,"-49.260020, -73.033035",Cuiñas - Rosasco,Filo Noroeste,,,https://worldflags.net/flaggor/flags/4x3/ar.svg,https://raw.githubusercontent.com/pgenero/diplo/TP/PATAGONIA/04.CONTINENTES/SUDAMERICA.png,Argentina,South America
Chaltén,Fitz Roy,Aguja,Guillaumet,"2,574",01/01/79,Héctor Cuiñas,Argentina,Sudamérica,"-49.260020, -73.033035",Cuiñas - Rosasco,Filo Noroeste,,,https://worldflags.net/flaggor/flags/4x3/ar.svg,https://raw.githubusercontent.com/pgenero/diplo/TP/PATAGONIA/04.CONTINENTES/SUDAMERICA.png,Argentina,South America
Chaltén,Fitz Roy,Aguja,Guillaumet,"2,574",01/12/90,Maurizio Giordani,Italia,Europa,"-49.260020, -73.033035",Giordani,Filo Noroeste,x,,https://worldflags.net/flaggor/flags/4x3/it.svg,https://raw.githubusercontent.com/pgenero/diplo/TP/PATAGONIA/04.CONTINENTES/EUROPA.png,Italy,Europe
Chaltén,Fitz Roy,Aguja,Guillaumet,"2,574",01/02/04,Mariusz Nowak,Polonia,Europa,"-49.260020, -73.033035",Polaca,Oeste,,,https://worldflags.net/flaggor/flags/4x3/pl.svg,https://raw.githubusercontent.com/pgenero/diplo/TP/PATAGONIA/04.CONTINENTES/EUROPA.png,Poland,Europe
