GRUPO,CERRO,RUTAS
Adela,3 Bis,Sin ascensos
Adela,Chata,1
Adela,Leo,1
Adela,Lise,1
Adela,T48,2
Adela,Tenazas,Sin ascensos
Adela,Adela Central,5
Adela,Adela Norte,1
Adela,Adela Sur,5
Adela,Cerro Azara,2
Adela,El Doblado,2
Adela,El Ñato,3
Adela,Grande,8
Adela,Solo,6
Cordón Marconi,Colmillo Central,2
Cordón Marconi,Colmillo Norte,1
Cordón Marconi,Colmillo Sur,2
Cordón Marconi,Dumbo,2
Cordón Marconi,Pizarra Escondida,1
Cordón Marconi,Volonqui,4
Cordón Marconi,Marconi Central,3
Cordón Marconi,Marconi Norte,1
Cordón Marconi,Marconi Sur,3
Cordón Marconi,Rincón,2
Fitz Roy,De la Silla,6
Fitz Roy,Desmochada,11
Fitz Roy,Guillaumet,39
Fitz Roy,Kakito,4
Fitz Roy,l'S,16
Fitz Roy,Mermoz,10
Fitz Roy,Poincenot,25
Fitz Roy,Rafael Juárez,20
Fitz Roy,Saint-Exeupéry,19
Fitz Roy,Val Bois,6
Fitz Roy,Eléctrico,4
Fitz Roy,Fitz Roy,40
Fitz Roy,Mojon Rojo,4
Fitz Roy,Pilar Goretta,13
Fitz Roy,Techado Negro,3
Piergiorgio & Pollone,Aguja Pollone,5
Piergiorgio & Pollone,Stefan,1
Piergiorgio & Pollone,Tito Carrasco,7
Piergiorgio & Pollone,Domo Blanco,7
Piergiorgio & Pollone,Loma Blanca,1
Piergiorgio & Pollone,Piergiorgio,7
Piergiorgio & Pollone,Pollone,4
Piergiorgio & Pollone,Pollone Cumbre Este,5
Piergiorgio & Pollone,Punta Amistad,1
Piergiorgio & Pollone,El Hombro,1
Piergiorgio & Pollone,Gran Gendarme,4
Piergiorgio & Pollone,El Tridente,4
Piergiorgio & Pollone,Cumbrecitas,4
Torre,Bifida,11
Torre,CAT,2
Torre,Cuatro Dedos,4
Torre,"Inti, Atchachila y Pachamama",4
Torre,Medialuna,5
Torre,Punta Filip,5
Torre,Standhardt,11
Torre,Torrisimo,2
Torre,El Mochito,8
Torre,El Mocho,15
Torre,Punta Herron,5
Torre,Torre,18
Torre,Torre Egger,12
